customer_id,name,city,state,customer_segment,account_age_days,signup_date
CUST000001,Rajata Srivastava,Kolkata,West Bengal,Regular,927,2021-06-18
CUST000002,Diya Chad,Indore,Madhya Pradesh,New,4,2023-12-28
CUST000003,Aadhya Ranganathan,Ahmedabad,Gujarat,Premium,956,2021-05-20
CUST000004,Jeet Sule,Bangalore,Karnataka,Regular,976,2021-04-30
CUST000005,Edhitha Keer,Mumbai,Maharashtra,Regular,730,2022-01-01
CUST000006,Rishi Ramanathan,Jaipur,Rajasthan,Regular,99,2023-09-24
CUST000007,Omisha Bajwa,Jaipur,Rajasthan,Regular,832,2021-09-21
CUST000008,Harsh Krishnan,Nagpur,Maharashtra,New,23,2023-12-09
CUST000009,Yachana Nadkarni,Lucknow,Uttar Pradesh,Premium,373,2022-12-24
CUST000010,Aarush Oak,Surat,Gujarat,Premium,386,2022-12-11
CUST000011,Jatin Dave,Kolkata,West Bengal,Regular,598,2022-05-13
CUST000012,Manthan Boase,Indore,Madhya Pradesh,New,18,2023-12-14
CUST000013,Fariq Narain,Pune,Maharashtra,Premium,493,2022-08-26
CUST000014,Samesh Palla,Hyderabad,Telangana,Regular,436,2022-10-22
CUST000015,Bahadurjit Dhillon,Indore,Madhya Pradesh,Regular,919,2021-06-26
CUST000016,Devika Batra,Bhopal,Madhya Pradesh,Regular,334,2023-02-01
CUST000017,Vincent Mani,Kanpur,Uttar Pradesh,Regular,323,2023-02-12
CUST000018,Ayaan Grover,Indore,Madhya Pradesh,Regular,705,2022-01-26
CUST000019,Yadavi Chadha,Hyderabad,Telangana,Regular,739,2021-12-23
CUST000020,Ronith Srivastava,Nagpur,Maharashtra,Regular,250,2023-04-26
CUST000021,Janani Purohit,Indore,Madhya Pradesh,Premium,992,2021-04-14
CUST000022,Sachi Bhatnagar,Ahmedabad,Gujarat,Regular,755,2021-12-07
CUST000023,Hamsini Saran,Kolkata,West Bengal,Regular,806,2021-10-17
CUST000024,Dhriti Tiwari,Jaipur,Rajasthan,Regular,659,2022-03-13
CUST000025,Yasti Desai,Lucknow,Uttar Pradesh,Regular,360,2023-01-06
CUST000026,Upasna Loyal,Pune,Maharashtra,Premium,1520,2019-11-03
CUST000027,Triveni Dixit,Kolkata,West Bengal,Regular,742,2021-12-20
CUST000028,Vritti Pal,Pune,Maharashtra,Regular,193,2023-06-22
CUST000029,Zehaan Tara,Bangalore,Karnataka,Regular,80,2023-10-13
CUST000030,Harsh Jhaveri,Jaipur,Rajasthan,Regular,944,2021-06-01
CUST000031,Nakul Mishra,Hyderabad,Telangana,Premium,1701,2019-05-06
CUST000032,Nathan Bhatti,Delhi,Delhi,Regular,510,2022-08-09
CUST000033,Ayaan Baral,Lucknow,Uttar Pradesh,Regular,565,2022-06-15
CUST000034,Rishi Shukla,Mumbai,Maharashtra,New,21,2023-12-11
CUST000035,Ekapad Behl,Kanpur,Uttar Pradesh,New,29,2023-12-03
CUST000036,Vasana Parekh,Chennai,Tamil Nadu,Premium,455,2022-10-03
CUST000037,Krish Krishnamurthy,Bhopal,Madhya Pradesh,Regular,787,2021-11-05
CUST000038,Yashodhara Arora,Nagpur,Maharashtra,Regular,151,2023-08-03
CUST000039,Chaitanya Parmer,Kanpur,Uttar Pradesh,Premium,1239,2020-08-10
CUST000040,Yahvi Singhal,Hyderabad,Telangana,Regular,557,2022-06-23
CUST000041,Lucky Saha,Hyderabad,Telangana,Regular,187,2023-06-28
CUST000042,Oviya Jayaraman,Mumbai,Maharashtra,Regular,680,2022-02-20
CUST000043,Bimala Karnik,Delhi,Delhi,Regular,893,2021-07-22
CUST000044,Daksha Viswanathan,Delhi,Delhi,New,4,2023-12-28
CUST000045,Aahana Majumdar,Surat,Gujarat,Regular,282,2023-03-25
CUST000046,Aradhana Sem,Mumbai,Maharashtra,Premium,583,2022-05-28
CUST000047,Avni Karan,Nagpur,Maharashtra,Regular,248,2023-04-28
CUST000048,Bimala Thaman,Pune,Maharashtra,Regular,621,2022-04-20
CUST000049,Tristan Ram,Jaipur,Rajasthan,Regular,954,2021-05-22
CUST000050,Balhaar Vora,Kolkata,West Bengal,Regular,452,2022-10-06
